sgxrop|sgxrop.bin|sgxrop_sgxrop_4341_139681949810688.json|62.14|5.25|1:07.49|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
snakesgx|snakesgx.bin|snakesgx_snakesgx_11404_140055075094528.json|61.01|5.08|1:06.22|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_7438_140356125458432.json|56.52|4.64|1:01.36|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_9087_140054638886912.json|77.51|6.07|1:23.76|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_8510_140686166851584.json|80.55|6.68|1:27.43|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_7364_139996807823360.json|37.71|3.07|0:40.96|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_8909_140527378890752.json|42.51|3.40|0:46.06|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_7364_139996791046144.json|37.86|3.44|0:41.40|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxsdk|sgxsdk-samples.bin|sgxsdk_sgxsdk-samples_7930_140331764940800.json|81.09|6.91|1:28.41|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14873_140666889830400.json|215.70|21.20|3:57.19|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14575_139980366151680.json|236.42|25.71|4:22.39|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14944_139822945533952.json|311.79|29.72|5:41.71|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14944_139822979088384.json|314.17|29.53|5:44.37|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14807_140624141484032.json|207.41|20.38|3:48.05|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14676_139742968545280.json|183.34|18.29|3:21.94|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14944_139822911979520.json|315.57|30.68|5:46.42|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
openenclave|openenclave-samples.bin|openenclave_openenclave-samples_14740_140026704822272.json|216.22|21.82|3:58.34|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
asylo|asylo-samples.bin|asylo_asylo-samples_22079_139912451981312.json|272.77|50.79|5:24.68|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
asylo|asylo-samples.bin|asylo_asylo-samples_22406_140178807062528.json|386.62|71.26|7:39.05|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
asylo|asylo-samples.bin|asylo_asylo-samples_21523_139963857371136.json|285.36|52.65|5:39.00|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
asylo|asylo-samples.bin|asylo_asylo-samples_23430_139890306056192.json|382.46|67.99|7:31.68|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
asylo|asylo-samples.bin|asylo_asylo-samples_23081_139718977126400.json|252.90|43.29|4:57.46|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22322_268435456.json|58.89|5.22|1:04.27|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22327_268435456.json|60.69|5.02|1:05.85|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22319_268435456.json|59.22|5.11|1:04.41|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22591_1073741824.json|75.01|6.79|1:22.02|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22726_1073741824.json|100.11|8.32|1:48.75|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22540_268435456.json|59.34|5.23|1:04.74|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22298_268435456.json|68.89|6.13|1:15.16|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22315_268435456.json|62.12|5.42|1:07.69|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
graphene|graphene-samples.bin|graphene_graphene-samples_22659_268435456.json|63.03|5.43|1:08.69|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxlkl|sgxlkl-samples-1.bin|sgxlkl_sgxlkl-samples-1_21277_139775415681024.json|198.25|18.73|3:37.32|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxlkl|sgxlkl-samples-1.bin|sgxlkl_sgxlkl-samples-1_21378_139637976727552.json|488.91|41.97|8:51.90|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxlkl|sgxlkl-samples-2.bin|sgxlkl_sgxlkl-samples-2_21665_139912854634496.json|228.88|21.40|4:10.70|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
sgxlkl|sgxlkl-samples-3.bin|sgxlkl_sgxlkl-samples-3_22240_139775415681024.json|358.97|31.43|6:30.81|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_23701_139712316571648.json|631.98|53.04|11:25.38|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_23655_139927685693440.json|341.66|27.82|6:09.76|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_23350_139670683910144.json|469.71|39.26|8:29.73|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_30620_139625813245952.json|54.98|4.62|0:59.86|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_23384_140384604782592.json|429.49|39.04|7:48.92|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_23606_139995000078336.json|367.87|32.39|6:40.79|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
rustsgx|rustsgx-samples.bin|rustsgx_rustsgx-samples_23514_139659250237440.json|61.41|4.99|1:06.68|99%|LinuxUbuntu_5_4_0-42-generic_profilex64
conclave|azure-concl.bin|conclave_azure-concl_6320_140398722809856.json|1650.76|149.80|30:00.89|99%|LinuxUbuntu_5_4_0-1034-azure_profilex64
conclave|azure-concl.bin|conclave_azure-concl_6320_140399591030784.json|7.97|0.63|0:08.646|99%|LinuxUbuntu_5_4_0-1034-azure_profilex64
conclave|azure-concl.bin|conclave_azure-concl_6320_140399595225088.json|7.96|0.61|0:08.592|99%|LinuxUbuntu_5_4_0-1034-azure_profilex64
